fecha_id,day,month,year,quarter,weekday
350,15,12,2024,4,Sunday
351,16,12,2024,4,Monday
352,17,12,2024,4,Tuesday
353,18,12,2024,4,Wednesday
354,19,12,2024,4,Thursday
355,20,12,2024,4,Friday
356,21,12,2024,4,Saturday
357,22,12,2024,4,Sunday
358,23,12,2024,4,Monday
359,24,12,2024,4,Tuesday
360,25,12,2024,4,Wednesday
361,26,12,2024,4,Thursday
362,27,12,2024,4,Friday
363,28,12,2024,4,Saturday
364,29,12,2024,4,Sunday
365,30,12,2024,4,Monday
